H000011 H000015
H000018 H000016
H000023 H000017
H000035 H000018
H000049 H000019
H000058 H000020
H000059 H000021
H000065 H000022
H000066 H000023
H000069 H000024
H000081 H000025
H000082 H000026
H000083 H000027
H000086 H000028
H000099 H000029
H000102 H000030
H000103 H000031
H000106 H000032
H000329 H000034
H000331 H000035
H000332 H000036
H000333 H000037
H000334 H000038
H000335 H000039

# 以下コメント
H_conversion_list.txtとH_conversion_list_manual.txtを結合したもの.
ただし, H_conversion_list_manual.txtのH番号は自動検出天体と連番になるように付け替えられている.
